Director_Name,Runtime,Gross,Genres,Movie_Title,Plot_Keywords,Language,Content_Rating,Budget,Aspect_Ratio,Movie_ID,Production_Companies,Release_Date,Revenue
James Cameron,178.0,760505847.0,Action|Adventure|Fantasy|Sci-Fi,Avatar,avatar|future|marine|native|paraplegic,English,PG-13,237000000.0,1.78,19995,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",2009-12-10,2787965087
Gore Verbinski,169.0,309404152.0,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End,goddess|marriage ceremony|marriage proposal|pirate|singapore,English,PG-13,300000000.0,2.35,285,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2007-05-19,961000000
Christopher Nolan,164.0,448130642.0,Action|Thriller,The Dark Knight Rises,deception|imprisonment|lawlessness|police officer|terrorist plot,English,PG-13,250000000.0,2.35,49026,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",2012-07-16,1084939099
Andrew Stanton,132.0,73058679.0,Action|Adventure|Sci-Fi,John Carter,alien|american civil war|male nipple|mars|princess,English,PG-13,263700000.0,2.35,49529,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2012-03-07,284139100
Sam Raimi,156.0,336530303.0,Action|Adventure|Romance,Spider-Man 3,sandman|spider man|symbiote|venom|villain,English,PG-13,258000000.0,2.35,559,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2007-05-01,890871626
Nathan Greno,100.0,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled,17th century|based on fairy tale|disney|flower|tower,English,PG,260000000.0,1.85,38757,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",2010-11-24,591794936
Joss Whedon,141.0,458991599.0,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,English,PG-13,250000000.0,2.35,99861,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2015-04-22,1405403694
Zack Snyder,183.0,330249062.0,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,based on comic book|batman|sequel to a reboot|superhero|superman,English,PG-13,250000000.0,2.35,209112,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2016-03-23,873260194
Bryan Singer,169.0,200069408.0,Action|Adventure|Sci-Fi,Superman Returns,crystal|epic|lex luthor|lois lane|return to earth,English,PG-13,209000000.0,2.35,1452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]",2006-06-28,391081192
Gore Verbinski,151.0,423032628.0,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest,box office hit|giant squid|heart|liar's dice|monster,English,PG-13,225000000.0,2.35,58,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2006-06-20,1065659812
